z,k_s_per_km,p1d_kms,e_stat_kms,e_syst_kms,e_total_kms,pfid_kms
2.6000,0.00625000,19.82161751,0.23246195,0.15320676,0.27840774,20.53350900
2.6000,0.00675000,18.03327439,0.22601208,0.15115580,0.27189987,19.76112730
2.6000,0.00725000,17.71065765,0.22044793,0.14955453,0.26639040,19.03087540
2.6000,0.00775000,19.32528474,0.21550878,0.15099073,0.26313919,18.33939410
2.6000,0.00825000,18.96909088,0.21081232,0.14748212,0.25727964,17.68399650
2.6000,0.00875000,16.52348468,0.20619781,0.14922157,0.25452822,17.06208390
2.6000,0.00925000,17.14604328,0.20167186,0.54633217,0.58236619,16.47096800
2.6000,0.00975000,15.24936391,0.19758801,0.29713518,0.35683376,15.90841510
2.6000,0.01025000,14.59369110,0.19395390,0.14696577,0.24334554,15.37240450
2.6000,0.01075000,15.34910554,0.19072905,0.14746101,0.24108571,14.86109800
2.6000,0.01125000,14.84280940,0.18750736,0.14817109,0.23898469,14.37280960
2.6000,0.01175000,13.49032933,0.18421115,0.14907795,0.23697676,13.90596870
2.6000,0.01225000,12.65396321,0.18103495,0.15016479,0.23520866,13.45920190
2.6000,0.01275000,12.39305211,0.17818577,0.15141620,0.23383120,13.03134980
2.6000,0.01325000,12.16359113,0.17556212,0.15281812,0.23275617,12.62123500
2.6000,0.01375000,12.77423250,0.17309572,0.15435549,0.23192186,12.22777510
2.6000,0.01425000,11.67142963,0.17060298,0.15601649,0.23118504,11.85006870
2.6000,0.01475000,11.26170203,0.16823552,0.15778919,0.23065260,11.48729890
2.6000,0.01525000,10.77479542,0.16608904,0.15965989,0.23038413,11.13860080
2.6000,0.01575000,11.01697582,0.16428562,0.16318087,0.23155509,10.80326920
2.6000,0.01625000,10.40630368,0.16273716,0.16412815,0.23113077,10.48063130
2.6000,0.01675000,10.31590580,0.16109178,0.16575391,0.23113832,10.17009240
2.6000,0.01725000,9.78441831,0.15957046,0.16836034,0.23196538,9.87106050
2.6000,0.01775000,9.34153555,0.15824116,0.17012719,0.23234355,9.58298750
2.6000,0.01825000,9.18412396,0.15706136,0.17238112,0.23320274,9.30538440
2.6000,0.01875000,9.05816081,0.15613135,0.17467097,0.23427963,9.03780560
2.6000,0.01925000,8.97203008,0.15526661,0.17707963,0.23550990,8.77982150
2.6000,0.01975000,8.86762311,0.15456624,0.17933684,0.23675393,8.53099310
2.6000,0.02025000,8.47573400,0.15403507,0.18170201,0.23820668,8.29095710
2.6000,0.02075000,8.06720244,0.15374485,0.18408241,0.23984123,8.05937060
2.6000,0.02125000,7.71254500,0.15361138,0.18647428,0.24159701,7.83588020
2.6000,0.02175000,7.91023681,0.15377517,0.18900942,0.24366240,7.62016340
2.6000,0.02225000,7.33030366,0.15409705,0.19128040,0.24563000,7.41191730
2.6000,0.02275000,7.53232456,0.15462810,0.19368987,0.24784191,7.21087650
2.6000,0.02325000,7.22255165,0.15518549,0.19610022,0.25007565,7.01676450
2.6000,0.02375000,6.74291992,0.15572537,0.19897258,0.25266673,6.82931660
2.6000,0.02425000,7.04327351,0.15637941,0.20091834,0.25460302,6.64829050
2.6000,0.02475000,6.91325045,0.15709964,0.25569241,0.30009816,6.47346410
2.6000,0.02525000,6.46528018,0.15800595,0.20585880,0.25950670,6.30461480
2.6000,0.02575000,6.36698050,0.15907294,0.20837642,0.26215441,6.14153130
2.6000,0.02625000,6.09648899,0.16024829,0.21764330,0.27027415,5.98401190
2.6000,0.02675000,6.35847231,0.16153458,0.21291347,0.26725562,5.83186470
2.6000,0.02725000,5.82898429,0.16288856,0.21530323,0.26997808,5.68492070
2.6000,0.02775000,5.86896640,0.16445484,0.21769088,0.27282726,5.54298960
2.6000,0.02825000,5.70570559,0.16642565,0.22386831,0.27895253,5.40587930
2.6000,0.02875000,5.44938354,0.16876944,0.22320090,0.27982452,5.27349640
2.6000,0.02925000,5.49702269,0.17158256,0.22485472,0.28284310,5.14537550
2.6000,0.02975000,5.26702944,0.17413037,0.23252448,0.29049788,5.02491090
2.6000,0.03034939,4.87838035,0.14384278,0.23101850,0.27214021,4.88195480
2.6000,0.03105632,5.00117182,0.14553496,0.23354547,0.27517978,4.71931560
2.6000,0.03177972,4.80935159,0.14793847,0.23707690,0.27944811,4.56320910
2.6000,0.03251996,4.64258072,0.15099897,0.24199919,0.28524428,4.41138500
2.6000,0.03327745,4.55185417,0.15495899,0.24455504,0.28951590,4.26403630
2.6000,0.03405258,4.11914606,0.16007959,0.24855641,0.29564466,4.12134630
2.6000,0.03484577,3.90626211,0.16659279,0.25278009,0.30273905,3.98338730
2.6000,0.03565743,3.96822850,0.17485123,0.25727129,0.31106506,3.85031830
2.6000,0.03648800,3.93547733,0.18481449,0.26209398,0.32070181,3.72224860
2.6000,0.03733791,3.42286752,0.19663563,0.26731301,0.33184607,3.59926890
2.6000,0.03820762,4.07299372,0.21035812,0.27302322,0.34466247,3.48150510
2.6000,0.03909759,3.44580577,0.22617959,0.27931918,0.35941120,3.36908960
2.6000,0.04000829,3.36825576,0.24427974,0.28625744,0.37631890,3.26180830
2.6000,0.04094021,3.19236086,0.26532283,0.29422499,0.39618752,3.16112280
2.6000,0.04189383,2.50465517,0.29048307,0.30375230,0.42029261,3.06693800
2.6000,0.04286966,2.81831151,0.32028564,0.31387111,0.44843948,2.97663780
2.6000,0.04386822,1.84749523,0.35511284,0.32528057,0.48157302,2.89086330
2.6000,0.04489004,2.06061440,0.39579556,0.33848574,0.52079431,2.81869100
2.6000,0.04593567,1.09309304,0.44352812,0.35613960,0.56881684,2.80281590
2.6000,0.04700565,1.08641278,0.50845897,0.37002810,0.62884920,2.76365190
2.6000,0.04810055,1.20368181,0.62728410,0.38538809,0.73621282,2.75638670
2.6000,0.04922096,1.56603086,0.90135840,0.39385833,0.98365205,2.72859610
2.6000,0.05036746,0.89940568,1.86929491,0.48234742,1.93052389,2.87185260
2.6000,0.05154067,12.97897615,7.66785064,0.80615138,7.71011112,4.13232670
2.6000,0.05274120,3528.38298141,4902.94854878,6.70247533,4902.95313002,83.64696587
2.8000,0.00025000,23.25469938,4.37391273,5.99603324,7.42182776,20.93066000
2.8000,0.00075000,43.19974514,0.56112826,1.61996972,1.71439984,32.41272100
2.8000,0.00125000,38.42067833,0.43896154,0.65953613,0.79225952,34.84594300
2.8000,0.00175000,34.50683309,0.41743600,0.36113021,0.55196725,34.74070100
2.8000,0.00225000,37.90646592,0.40137118,0.26548783,0.48123031,33.89257100
2.8000,0.00275000,35.79039795,0.38124447,0.22850988,0.44448184,32.76870500
2.8000,0.00325000,33.33341436,0.36409844,0.20820637,0.41942529,31.55929200
2.8000,0.00375000,27.25905942,0.34885649,0.19823930,0.40124765,30.34719500
2.8000,0.00425000,25.51226088,0.33592468,0.19331785,0.38757861,29.16865800
2.8000,0.00475000,26.54629990,0.32501771,0.19201703,0.37750106,28.03976400
2.8000,0.00525000,26.76305602,0.31532961,0.19360534,0.37002133,26.96582700
